rank,feature,model_value,shap_contribution
1,C1,0.44566991925239563,0.22175497669748898
2,C11,0.38099029660224915,0.12097222919172705
3,C8,0.5766729116439819,0.08354610721432293
4,C12,0.45854952931404114,0.06263077271078944
5,DeviceType,0.10023272037506104,0.03257480671373099
6,D1,-0.5843946933746338,0.02247730904239248
7,C14,-0.06851945072412491,-0.019118756716188602
8,C4,0.20308823883533478,0.018514962937848153
9,C7,0.23170973360538483,-0.017424095043789844
10,C5,-0.21323660016059875,0.016977330652558017
11,P_emaildomain,0.38515353202819824,0.01682746686529068
12,C2,0.3034910559654236,0.016459875072676173
13,C13,-0.1998724788427353,0.014291159461557436
14,C6,0.13727733492851257,0.006494538911349351
15,C9,-0.2612651288509369,-0.006293417445189856
16,D15,-0.758956789970398,0.006009831551344194
17,C10,0.1684374362230301,0.005485898472259306
18,amt_vs_client_mean,0.069111168384552,0.004144584258613242
19,id_31,0.0,0.0034168895567289193
20,client_txn_count,0.038215477019548416,-0.0034119801869393466
21,ProductCD,0.12096918374300003,-0.003228204431239661
22,card4,0.653343915939331,0.0031949629364841628
23,id_30,0.8505242466926575,-0.0026885867146461805
24,day,0.5314623117446899,0.002479490888257124
25,dist1,-0.1838812679052353,0.001918182060517205
26,hour,-0.10375688225030899,-0.0017300380576328635
27,card6,0.7333409190177917,-0.001402793275919343
28,TransactionAmt,-0.33772012591362,0.0012942036533447232
29,client_std_amt,-0.6111248731613159,-0.0009105587250002521
30,log_amt,-0.39904704689979553,-0.0008445805781318477
31,client_mean_amt,-0.6491464376449585,3.78092532497871e-05
32,C3,-0.03740747645497322,0.0
